candidate_id,model_family,fit_status,error_message,fit_time_sec,ngram_range,min_df,C,class_weight,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_confusion_matrix
logistic_regression_030,logistic_regression,ok,,1.4818546772003174,"[1, 2]",2,2.0,balanced,0.9069767441860465,0.8900325361578835,0.888975848905058,0.889469406710786,0.9069974448215561,"[[285, 13, 13], [19, 107, 5], [12, 10, 310]]"
logistic_regression_031,logistic_regression,ok,,0.7912707328796387,"[1, 2]",3,0.5,,0.8695090439276486,0.8823795386295387,0.8001183448109712,0.8215295539266391,0.8610007040444065,"[[290, 4, 17], [43, 68, 20], [15, 2, 315]]"
logistic_regression_032,logistic_regression,ok,,0.542140007019043,"[1, 2]",3,0.5,balanced,0.8850129198966409,0.8607537159368391,0.8685553682292558,0.8642256867580896,0.885881569277119,"[[281, 17, 13], [21, 105, 5], [16, 17, 299]]"
logistic_regression_033,logistic_regression,ok,,0.7244167327880859,"[1, 2]",3,1.0,,0.8914728682170543,0.8940640819768396,0.8418348290686124,0.8599954032226149,0.8875335044517284,"[[290, 5, 16], [33, 84, 14], [12, 4, 316]]"
logistic_regression_034,logistic_regression,ok,,0.917168378829956,"[1, 2]",3,1.0,balanced,0.896640826873385,0.8760622839939138,0.8792676165992854,0.8775209100087675,0.8970467248081175,"[[283, 16, 12], [20, 106, 5], [15, 12, 305]]"
logistic_regression_035,logistic_regression,ok,,0.7503986358642578,"[1, 2]",3,2.0,,0.9069767441860465,0.9060703762739699,0.8680188218079357,0.8827364742706917,0.9048466277472906,"[[294, 6, 11], [29, 93, 9], [13, 4, 315]]"
logistic_regression_036,logistic_regression,ok,,0.6664228439331055,"[1, 2]",3,2.0,balanced,0.9069767441860465,0.8861375142903807,0.8905163621028874,0.8882231148647876,0.9073645701454088,"[[285, 15, 11], [18, 108, 5], [11, 12, 309]]"
linear_svm_001,linear_svm,ok,,0.1313340663909912,"[1, 1]",1,0.5,,0.8863049095607235,0.8731339027701527,0.8423725091081294,0.8543186362098049,0.8836136598533821,"[[289, 8, 14], [34, 87, 10], [12, 10, 310]]"
linear_svm_002,linear_svm,ok,,0.1227271556854248,"[1, 1]",1,0.5,balanced,0.8888888888888888,0.8649168994116326,0.8640004410267662,0.8643920713749379,0.8889080790910097,"[[283, 14, 14], [24, 100, 7], [11, 16, 305]]"
linear_svm_003,linear_svm,ok,,0.10642695426940918,"[1, 1]",1,1.0,,0.8837209302325582,0.8668146659455206,0.8477280664840458,0.8558727764327972,0.8821682926632549,"[[284, 11, 16], [30, 92, 9], [13, 11, 308]]"
linear_svm_004,linear_svm,ok,,0.11210918426513672,"[1, 1]",1,1.0,balanced,0.8888888888888888,0.8674866339341746,0.8654731589276524,0.8664097869042973,0.8888278043706718,"[[282, 13, 16], [24, 101, 6], [12, 15, 305]]"
linear_svm_005,linear_svm,ok,,0.11413431167602539,"[1, 1]",1,2.0,,0.8888888888888888,0.8725804043010319,0.8579061835323918,0.8644330601502807,0.8878210542329039,"[[284, 10, 17], [27, 96, 8], [12, 12, 308]]"
